{'gen': 0, 'nevals': 300, 'min': 23113.373397129188, 'avg': 28292.232622860178}
{'gen': 1, 'nevals': 266, 'min': 23102.828580542264, 'avg': 27813.153784795322}
{'gen': 2, 'nevals': 244, 'min': 22994.51253588517, 'avg': 27496.491756193514}
{'gen': 3, 'nevals': 241, 'min': 22052.819872408294, 'avg': 27261.437706007444}
{'gen': 4, 'nevals': 251, 'min': 22052.819872408294, 'avg': 27133.397179053693}
{'gen': 5, 'nevals': 253, 'min': 22052.819872408294, 'avg': 26953.922009888356}
{'gen': 6, 'nevals': 258, 'min': 22052.819872408294, 'avg': 26768.42825124933}
{'gen': 7, 'nevals': 248, 'min': 22052.819872408294, 'avg': 26592.224507602343}
{'gen': 8, 'nevals': 255, 'min': 20550.56966507177, 'avg': 26351.178872301967}
{'gen': 9, 'nevals': 256, 'min': 20550.56966507177, 'avg': 26207.277086124403}
{'gen': 10, 'nevals': 246, 'min': 20550.56966507177, 'avg': 26126.094120467835}
{'gen': 11, 'nevals': 256, 'min': 20550.56966507177, 'avg': 26110.816705688463}
{'gen': 12, 'nevals': 260, 'min': 20550.56966507177, 'avg': 25835.938278468897}
{'gen': 13, 'nevals': 243, 'min': 20550.56966507177, 'avg': 25695.057150239238}
{'gen': 14, 'nevals': 265, 'min': 20528.95894736842, 'avg': 25505.218041786284}
{'gen': 15, 'nevals': 248, 'min': 20429.628612440192, 'avg': 25255.752101116428}
{'gen': 16, 'nevals': 256, 'min': 20203.540637958533, 'avg': 25043.05895279107}
{'gen': 17, 'nevals': 257, 'min': 20203.540637958533, 'avg': 24689.213313981923}
{'gen': 18, 'nevals': 252, 'min': 20131.516076555024, 'avg': 24424.08941010101}
{'gen': 19, 'nevals': 254, 'min': 20048.480031897925, 'avg': 24001.07449665072}
{'gen': 20, 'nevals': 242, 'min': 19750.641307814993, 'avg': 23614.83499223817}
{'gen': 21, 'nevals': 256, 'min': 19072.09384370016, 'avg': 23299.082715683144}
{'gen': 22, 'nevals': 251, 'min': 18835.355151515152, 'avg': 22980.222454970757}
{'gen': 23, 'nevals': 250, 'min': 18835.355151515152, 'avg': 22563.4001569378}
{'gen': 24, 'nevals': 262, 'min': 18750.71033492823, 'avg': 22195.63277894737}
{'gen': 25, 'nevals': 254, 'min': 18630.080414673048, 'avg': 21868.452558958004}
{'gen': 26, 'nevals': 254, 'min': 18545.720925039874, 'avg': 21360.805701010104}
{'gen': 27, 'nevals': 254, 'min': 18545.720925039874, 'avg': 21016.47066772993}
{'gen': 28, 'nevals': 248, 'min': 18453.852567783095, 'avg': 20675.822421265282}
{'gen': 29, 'nevals': 257, 'min': 18067.091228070174, 'avg': 20356.20103806486}
{'gen': 30, 'nevals': 252, 'min': 18067.091228070174, 'avg': 20106.8381082403}
{'gen': 31, 'nevals': 264, 'min': 17832.85374800638, 'avg': 19937.384413609783}
{'gen': 32, 'nevals': 256, 'min': 17287.801084529507, 'avg': 19777.385578203084}
{'gen': 33, 'nevals': 258, 'min': 17123.080893141945, 'avg': 19618.085901010105}
{'gen': 34, 'nevals': 252, 'min': 16512.464306220096, 'avg': 19441.24776161616}
{'gen': 35, 'nevals': 258, 'min': 16388.959298245612, 'avg': 19354.637112387027}
{'gen': 36, 'nevals': 241, 'min': 16261.586507177033, 'avg': 19173.81525497076}
{'gen': 37, 'nevals': 248, 'min': 16032.076714513556, 'avg': 19057.44408793195}
{'gen': 38, 'nevals': 251, 'min': 15680.660414673046, 'avg': 18928.10423657629}
{'gen': 39, 'nevals': 247, 'min': 15593.798947368421, 'avg': 18745.811200744287}
{'gen': 40, 'nevals': 250, 'min': 15593.798947368421, 'avg': 18468.209133333334}
{'gen': 41, 'nevals': 249, 'min': 15575.401435406699, 'avg': 18246.95435980861}
{'gen': 42, 'nevals': 250, 'min': 15411.983157894736, 'avg': 18003.572927060075}
{'gen': 43, 'nevals': 252, 'min': 15031.967336523127, 'avg': 17720.55792748538}
{'gen': 44, 'nevals': 258, 'min': 15031.967336523127, 'avg': 17452.212159276984}
{'gen': 45, 'nevals': 264, 'min': 14958.30398724083, 'avg': 17189.63405773525}
{'gen': 46, 'nevals': 244, 'min': 14958.30398724083, 'avg': 16932.027447953216}
{'gen': 47, 'nevals': 250, 'min': 14616.980765550239, 'avg': 16727.397055396064}
{'gen': 48, 'nevals': 259, 'min': 14486.37355661882, 'avg': 16478.134702179694}
{'gen': 49, 'nevals': 261, 'min': 14243.124274322168, 'avg': 16261.925171823495}
{'gen': 50, 'nevals': 245, 'min': 14243.124274322168, 'avg': 16072.070495481124}
{'gen': 51, 'nevals': 248, 'min': 13987.79062200957, 'avg': 15886.207810738968}
{'gen': 52, 'nevals': 252, 'min': 13987.79062200957, 'avg': 15713.103215523657}
{'gen': 53, 'nevals': 250, 'min': 13896.368771929825, 'avg': 15563.849451355662}
{'gen': 54, 'nevals': 262, 'min': 13888.655980861244, 'avg': 15387.129584370017}
{'gen': 55, 'nevals': 259, 'min': 13846.889059011164, 'avg': 15227.341141201487}
{'gen': 56, 'nevals': 252, 'min': 13383.660829346092, 'avg': 15098.413985326952}
{'gen': 57, 'nevals': 250, 'min': 13383.660829346092, 'avg': 14934.095295055818}
{'gen': 58, 'nevals': 262, 'min': 13277.396523125997, 'avg': 14803.055373631045}
{'gen': 59, 'nevals': 246, 'min': 13277.396523125997, 'avg': 14678.26259617225}
{'gen': 60, 'nevals': 238, 'min': 13107.01783094099, 'avg': 14554.773232216907}
{'gen': 61, 'nevals': 252, 'min': 12906.28057416268, 'avg': 14405.386443912812}
{'gen': 62, 'nevals': 254, 'min': 12906.28057416268, 'avg': 14279.947402232854}
{'gen': 63, 'nevals': 250, 'min': 12848.378532695375, 'avg': 14158.790955980861}
{'gen': 64, 'nevals': 246, 'min': 12848.378532695375, 'avg': 14065.416774906966}
{'gen': 65, 'nevals': 244, 'min': 12834.434290271132, 'avg': 13949.878027963849}
{'gen': 66, 'nevals': 253, 'min': 12571.764210526317, 'avg': 13831.931301010101}
{'gen': 67, 'nevals': 241, 'min': 12571.764210526317, 'avg': 13707.395057203616}
{'gen': 68, 'nevals': 248, 'min': 12561.687336523126, 'avg': 13600.287214247743}
{'gen': 69, 'nevals': 260, 'min': 12451.720574162679, 'avg': 13519.192121212121}
{'gen': 70, 'nevals': 264, 'min': 12370.326794258373, 'avg': 13416.265091759702}
{'gen': 71, 'nevals': 256, 'min': 12328.7409569378, 'avg': 13329.605497820308}
{'gen': 72, 'nevals': 258, 'min': 12311.605645933014, 'avg': 13236.77933556619}
{'gen': 73, 'nevals': 251, 'min': 12188.64653907496, 'avg': 13139.284730356192}
{'gen': 74, 'nevals': 244, 'min': 12188.64653907496, 'avg': 13048.178437958532}
{'gen': 75, 'nevals': 256, 'min': 12144.943094098884, 'avg': 12966.404229877724}
{'gen': 76, 'nevals': 244, 'min': 12098.06350877193, 'avg': 12880.318541945773}
{'gen': 77, 'nevals': 250, 'min': 11859.090940988835, 'avg': 12790.241270919725}
{'gen': 78, 'nevals': 252, 'min': 11859.090940988835, 'avg': 12712.765081233387}
{'gen': 79, 'nevals': 246, 'min': 11858.819585326954, 'avg': 12632.851957256778}
{'gen': 80, 'nevals': 259, 'min': 11777.592854864433, 'avg': 12533.800847953216}
{'gen': 81, 'nevals': 255, 'min': 11766.773301435407, 'avg': 12444.67000265816}
{'gen': 82, 'nevals': 260, 'min': 11723.64226475279, 'avg': 12364.709499308878}
{'gen': 83, 'nevals': 247, 'min': 11711.54114832536, 'avg': 12282.475425624667}
{'gen': 84, 'nevals': 243, 'min': 11547.272344497607, 'avg': 12211.927519085591}
{'gen': 85, 'nevals': 250, 'min': 11547.272344497607, 'avg': 12138.583777246145}
{'gen': 86, 'nevals': 242, 'min': 11547.272344497607, 'avg': 12072.067001594894}
{'gen': 87, 'nevals': 252, 'min': 11530.188325358851, 'avg': 12004.944762466774}
{'gen': 88, 'nevals': 262, 'min': 11524.847177033493, 'avg': 11942.666652312599}
{'gen': 89, 'nevals': 236, 'min': 11416.73923444976, 'avg': 11880.83790281765}
{'gen': 90, 'nevals': 254, 'min': 11416.73923444976, 'avg': 11825.452232216905}
{'gen': 91, 'nevals': 254, 'min': 11381.575470494417, 'avg': 11775.102345986177}
{'gen': 92, 'nevals': 249, 'min': 11349.72105263158, 'avg': 11731.627125784156}
{'gen': 93, 'nevals': 244, 'min': 11320.121403508772, 'avg': 11687.625814354065}
{'gen': 94, 'nevals': 260, 'min': 11300.91942583732, 'avg': 11644.524469005848}
{'gen': 95, 'nevals': 242, 'min': 11248.131770334929, 'avg': 11605.000370547581}
{'gen': 96, 'nevals': 246, 'min': 11248.131770334929, 'avg': 11565.994901967038}
{'gen': 97, 'nevals': 256, 'min': 11211.61706539075, 'avg': 11530.644022115895}
{'gen': 98, 'nevals': 252, 'min': 11203.601403508772, 'avg': 11496.56103242956}
{'gen': 99, 'nevals': 241, 'min': 11156.771642743222, 'avg': 11460.193053907495}
{'gen': 100, 'nevals': 249, 'min': 11156.771642743222, 'avg': 11426.975045401383}
{'gen': 101, 'nevals': 250, 'min': 11156.771642743222, 'avg': 11396.505574906965}
{'gen': 102, 'nevals': 254, 'min': 11082.945901116427, 'avg': 11368.769168102073}
{'gen': 103, 'nevals': 259, 'min': 11062.672089314194, 'avg': 11340.520057416268}
{'gen': 104, 'nevals': 256, 'min': 11035.97725677831, 'avg': 11313.770137054758}
{'gen': 105, 'nevals': 254, 'min': 11020.636618819777, 'avg': 11287.775313662944}
{'gen': 106, 'nevals': 254, 'min': 10902.44976076555, 'avg': 11260.81380808081}
{'gen': 107, 'nevals': 262, 'min': 10870.2263476874, 'avg': 11234.820882084}
{'gen': 108, 'nevals': 258, 'min': 10853.832344497607, 'avg': 11209.382656140351}
{'gen': 109, 'nevals': 261, 'min': 10822.321945773525, 'avg': 11181.558516214778}
{'gen': 110, 'nevals': 258, 'min': 10822.321945773525, 'avg': 11154.744037214248}
{'gen': 111, 'nevals': 258, 'min': 10822.321945773525, 'avg': 11129.169154704945}
{'gen': 112, 'nevals': 272, 'min': 10816.227464114832, 'avg': 11102.29672535885}
{'gen': 113, 'nevals': 252, 'min': 10794.111451355662, 'avg': 11073.481221690588}
{'gen': 114, 'nevals': 260, 'min': 10790.95326953748, 'avg': 11046.228308027645}
{'gen': 115, 'nevals': 258, 'min': 10778.630494417863, 'avg': 11018.737528229667}
{'gen': 116, 'nevals': 262, 'min': 10774.603923444976, 'avg': 10992.834210313662}
{'gen': 117, 'nevals': 254, 'min': 10753.347687400319, 'avg': 10966.734635513025}
{'gen': 118, 'nevals': 255, 'min': 10744.308676236045, 'avg': 10940.54848165869}
{'gen': 119, 'nevals': 250, 'min': 10723.23384370016, 'avg': 10913.731732908027}
{'gen': 120, 'nevals': 254, 'min': 10674.64851674641, 'avg': 10889.052131100478}
{'gen': 121, 'nevals': 238, 'min': 10674.64851674641, 'avg': 10865.14037288676}
{'gen': 122, 'nevals': 254, 'min': 10549.71023923445, 'avg': 10843.434139287612}
{'gen': 123, 'nevals': 266, 'min': 10549.71023923445, 'avg': 10823.170180329613}
{'gen': 124, 'nevals': 260, 'min': 10505.40918660287, 'avg': 10803.660353960659}
{'gen': 125, 'nevals': 256, 'min': 10505.40918660287, 'avg': 10783.868562679425}
{'gen': 126, 'nevals': 258, 'min': 10505.40918660287, 'avg': 10763.653472939925}
{'gen': 127, 'nevals': 263, 'min': 10505.40918660287, 'avg': 10743.702429771398}
{'gen': 128, 'nevals': 260, 'min': 10503.657671451356, 'avg': 10724.655595959595}
{'gen': 129, 'nevals': 257, 'min': 10494.381307814992, 'avg': 10703.085327591707}
{'gen': 130, 'nevals': 259, 'min': 10494.381307814992, 'avg': 10682.941073152579}
{'gen': 131, 'nevals': 262, 'min': 10493.46653907496, 'avg': 10661.547311004786}
{'gen': 132, 'nevals': 250, 'min': 10483.89100478469, 'avg': 10639.445226581605}
{'gen': 133, 'nevals': 257, 'min': 10482.09961722488, 'avg': 10620.409768952684}
{'gen': 134, 'nevals': 248, 'min': 10472.313110047848, 'avg': 10600.637710154173}
{'gen': 135, 'nevals': 255, 'min': 10461.58312599681, 'avg': 10581.45192897395}
{'gen': 136, 'nevals': 246, 'min': 10441.034736842104, 'avg': 10562.867168633706}
{'gen': 137, 'nevals': 240, 'min': 10441.034736842104, 'avg': 10544.895064646465}
{'gen': 138, 'nevals': 252, 'min': 10437.577703349283, 'avg': 10527.990768102072}
{'gen': 139, 'nevals': 250, 'min': 10437.577703349283, 'avg': 10515.082162466773}
{'gen': 140, 'nevals': 251, 'min': 10430.50711323764, 'avg': 10503.319164274322}
{'gen': 141, 'nevals': 246, 'min': 10406.439681020734, 'avg': 10494.859087187666}
{'gen': 142, 'nevals': 264, 'min': 10400.015215311005, 'avg': 10487.916117171717}
{'gen': 143, 'nevals': 264, 'min': 10400.015215311005, 'avg': 10479.828338011695}
{'gen': 144, 'nevals': 250, 'min': 10399.142296650718, 'avg': 10471.946327591706}
{'gen': 145, 'nevals': 252, 'min': 10392.952216905902, 'avg': 10463.970781605527}
{'gen': 146, 'nevals': 244, 'min': 10392.952216905902, 'avg': 10456.232791812865}
{'gen': 147, 'nevals': 249, 'min': 10391.791004784689, 'avg': 10448.368553322702}
{'gen': 148, 'nevals': 250, 'min': 10385.674258373207, 'avg': 10441.365362360446}
{'gen': 149, 'nevals': 238, 'min': 10379.700765550238, 'avg': 10434.502562892078}
{'gen': 150, 'nevals': 243, 'min': 10373.490590111644, 'avg': 10428.172738330675}
{'gen': 151, 'nevals': 250, 'min': 10373.490590111644, 'avg': 10422.913987240829}
{'gen': 152, 'nevals': 246, 'min': 10373.490590111644, 'avg': 10416.262363636364}
{'gen': 153, 'nevals': 260, 'min': 10369.45620414673, 'avg': 10410.581259755449}
{'gen': 154, 'nevals': 254, 'min': 10365.765071770335, 'avg': 10405.159189154707}
{'gen': 155, 'nevals': 244, 'min': 10356.57374800638, 'avg': 10400.796867517276}
{'gen': 156, 'nevals': 252, 'min': 10355.056650717703, 'avg': 10396.032232642212}
{'gen': 157, 'nevals': 250, 'min': 10332.2336523126, 'avg': 10391.692091228071}
{'gen': 158, 'nevals': 244, 'min': 10332.2336523126, 'avg': 10387.625934396598}
{'gen': 159, 'nevals': 247, 'min': 10318.381722488039, 'avg': 10383.69259521531}
{'gen': 160, 'nevals': 242, 'min': 10316.219011164274, 'avg': 10379.23366124402}
{'gen': 161, 'nevals': 244, 'min': 10315.498724082934, 'avg': 10374.973994471025}
{'gen': 162, 'nevals': 259, 'min': 10314.958054226476, 'avg': 10370.33169037746}
{'gen': 163, 'nevals': 256, 'min': 10311.601244019139, 'avg': 10365.251078681551}
{'gen': 164, 'nevals': 242, 'min': 10310.099744816587, 'avg': 10359.982650930357}
